tanggal,provinsi,kabupaten,kecamatan,fasyankes,penyakit,kode_penyakit,minggu,tahun,tahun_minggu,tahun_minggu_f,age_group,kelamin,kasus
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Female,5
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Male,2
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Female,1
2022-01-03,BALI,KAB. BULELENG,BANJAR,BANJAR I,Diare Akut,A,1.0,2022.0,2022 - 01,2022.01,,,1
2022-01-03,BALI,KAB. BULELENG,BANJAR,BANJAR I,ILI (Penyakit Serupa Influenza),Y,1.0,2022.0,2022 - 01,2022.01,,,5
2022-01-03,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,1.0,2022.0,2022 - 01,2022.01,,,89
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,1
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,C. 28 day old - 1 year old,Male,2
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,D. 1 - 4 year old,Male,6
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,D. 1 - 4 year old,Female,4
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Male,3
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Female,5
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Male,10
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Female,6
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Male,5
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Female,11
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Male,45
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Female,74
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Male,45
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Female,43
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Male,99
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,75
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Male,29
2022-01-03,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Female,15
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,1.0,2022.0,2022 - 01,2022.01,,Male,1
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,,Male,2
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,,Female,1
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Sindrom Jaundice Akut,G,1.0,2022.0,2022 - 01,2022.01,,,1
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,1.0,2022.0,2022 - 01,2022.01,,Male,1
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,2022.0,2022 - 01,2022.01,,Male,9
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,2022.0,2022 - 01,2022.01,,Female,17
2022-01-03,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,2022.0,2022 - 01,2022.01,,,6
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,ILI (Penyakit Serupa Influenza),Y,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,2
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Female,1
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Male,2
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Female,1
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Male,2
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Female,2
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Male,9
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,6
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Male,2
2022-01-03,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,BANJAR,BANJAR I,Diare Akut,A,1.0,2022.0,2022 - 01,2022.01,,,2
2022-01-04,BALI,KAB. BULELENG,BANJAR,BANJAR I,Gigitan Hewan Penular Rabies,P,1.0,2022.0,2022 - 01,2022.01,,,4
2022-01-04,BALI,KAB. BULELENG,BANJAR,BANJAR I,ILI (Penyakit Serupa Influenza),Y,1.0,2022.0,2022 - 01,2022.01,,,2
2022-01-04,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,1.0,2022.0,2022 - 01,2022.01,,,62
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,ILI (Penyakit Serupa Influenza),Y,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Male,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Sindrom Jaundice Akut,G,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Male,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,A. 0 - 7 day old,Female,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,C. 28 day old - 1 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,D. 1 - 4 year old,Male,2
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,D. 1 - 4 year old,Female,2
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Male,6
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Female,2
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Male,5
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Female,3
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Male,8
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Female,5
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Male,24
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Female,59
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Male,38
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Female,56
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Male,84
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,84
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Male,34
2022-01-04,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Female,21
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,1.0,2022.0,2022 - 01,2022.01,,Male,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,ILI (Penyakit Serupa Influenza),Y,1.0,2022.0,2022 - 01,2022.01,,Female,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,,Male,3
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,,Female,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,1.0,2022.0,2022 - 01,2022.01,,,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Sindrom Jaundice Akut,G,1.0,2022.0,2022 - 01,2022.01,,Male,1
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,1.0,2022.0,2022 - 01,2022.01,,Female,3
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,2022.0,2022 - 01,2022.01,,Male,34
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,2022.0,2022 - 01,2022.01,,Female,27
2022-01-04,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,2022.0,2022 - 01,2022.01,,,27
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,Diare Akut,A,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,ILI (Penyakit Serupa Influenza),Y,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Male,1
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Female,1
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Male,1
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Male,2
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Female,3
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Male,2
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,I. 45 - 54 year old,Female,3
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Male,6
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,J. 55 - 69 year old,Female,11
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Male,2
2022-01-04,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,1.0,2022.0,2022 - 01,2022.01,K. > 70 year old,Female,1
2022-01-05,BALI,KAB. BULELENG,BANJAR,BANJAR I,Gigitan Hewan Penular Rabies,P,1.0,2022.0,2022 - 01,2022.01,,,1
2022-01-05,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,1.0,2022.0,2022 - 01,2022.01,,,59
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Sindrom Jaundice Akut,G,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Female,1
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Suspek Dengue,C,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Male,1
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,B. 8 - 28 day old,Male,1
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,C. 28 day old - 1 year old,Male,1
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,D. 1 - 4 year old,Male,3
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,D. 1 - 4 year old,Female,1
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Male,3
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,E. 5 - 9 year old,Female,3
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Male,3
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,F. 10 - 14 year old,Female,4
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Male,6
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,G. 15 - 19 year old,Female,10
2022-01-05,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,1.0,2022.0,2022 - 01,2022.01,H. 20 - 44 year old,Male,36
